Afghanistan;7.10
Libya;6.93
Myanmar;8.15
Yemen;6.57
Central African Republic;6.75
Somalia;6.13
Korea. DPR;4.82
Venezuela;6.72
South Sudan;6.32
Syria;7.07
Nicaragua;5.72
Burundi;4.87
Turkmenistan;4.40
Equatorial Guinea;4.38
Eritrea;3.97
Congo. Dem. Rep.;7.35
Mali;5.93
Comoros;3.92
Chad;5.50
Haiti;5.93
Tajikistan;5.45
Guinea-Bissau;5.10
Sudan;6.37
Suriname;4.77
Iran;7.03
Zimbabwe;5.47
Guinea;4.58
Mauritania;4.38
Cameroon;6.27
Iraq;7.13
El Salvador;5.92
Belarus;5.87
Liberia;5.50
Gabon;4.85
Congo. Rep.;4.78
Mozambique;6.20
Papua New Guinea;5.72
Belize;4.87
eSwatini;4.38
Madagascar;5.58
Turkey;7.03
Paraguay;7.52
Sri Lanka;4.92
Lebanon;7.10
Laos;6.12
Burkina Faso;5.92
Niger;5.70
Benin;5.32
Cambodia;6.85
Russia;6.87
Kyrgyzstan;5.32
Egypt;5.05
Timor-Leste;4.08
Uganda;6.55
Bosnia and Herzegovina;5.85
Uzbekistan;4.95
Moldova;5.60
Lesotho;3.92
Pakistan;6.03
Azerbaijan;4.80
Nepal;6.57
Saudi Arabia;6.23
Guyana;5.97
Sierra Leone;4.95
Honduras;7.05
Guatemala;6.60
Maldives;4.27
Tanzania;6.20
Mexico;7.57
Philippines;6.63
Indonesia;6.85
Kiribati;2.45
Peru;6.40
Algeria;4.88
Djibouti;4.65
Bangladesh;5.12
Cyprus;4.43
Angola;5.58
Togo;5.23
Tunisia;4.45
Ukraine;6.48
Zambia;4.73
Kazakhstan;4.47
Namibia;4.30
Malawi;4.48
Antigua and Barbuda;2.98
Brunei;2.85
Morocco;4.80
Panama;6.98
Bhutan;3.90
Montenegro;5.90
Ethiopia;5.68
Vietnam;6.55
Thailand;6.18
Dominican Republic;5.02
Bolivia;4.95
Ecuador;7.07
Hungary;4.62
Brazil;6.77
Sao Tome and Principe;1.70
Serbia;6.22
St. Kitts and Nevis;3.52
Nauru;2.05
Solomon Islands;4.40
United Arab Emirates;6.37
Côte d'Ivoire;6.02
Albania;5.17
Malta;5.00
Grenada;2.93
Vanuatu;2.43
Greece;5.35
Gambia;4.53
Dominica;2.63
Oman;4.40
Mongolia;4.12
Seychelles;3.90
San Marino;3.48
Georgia;3.60
North Macedonia;5.03
Slovakia;4.72
Tonga;3.70
Kenya;7.02
Bulgaria;5.65
Trinidad and Tobago;5.20
Palau;2.70
Cuba;3.37
St. Vincent and the Grenadines;3.08
Jamaica;5.80
India;5.75
Qatar;5.45
Bahrain;4.95
Fiji;4.15
Ghana;5.80
Botswana;4.35
Bahamas;3.75
Kuwait;5.20
Mauritius;4.37
Rwanda;3.60
Jordan;4.93
St. Lucia;3.53
Colombia;7.75
South Africa;7.18
Costa Rica;5.53
Monaco;2.58
China;6.37
Armenia;2.82
Nigeria;7.28
Senegal;5.52
Marshall Islands;2.52
Samoa;2.43
Poland;4.48
Micronesia (Federated States of);3.00
Malaysia;6.23
Croatia;5.15
Argentina;5.00
Romania;4.58
Slovenia;4.37
Israel;4.85
Tuvalu;1.62
Barbados;3.07
Chile;5.18
Czech Republic;4.68
Italy;6.22
Portugal;4.88
Cabo Verde;4.28
Spain;5.90
France;5.82
Switzerland;4.87
Belgium;4.43
United States;5.67
Canada;3.88
Lithuania;3.90
Ireland;5.08
Japan;4.28
Australia;4.00
Netherlands;4.97
Sweden;4.70
Germany;5.33
Austria;4.13
Uruguay;3.22
Luxembourg;2.85
United Kingdom;5.75
Latvia;3.90
Singapore;3.47
Estonia;4.25
New Zealand;4.08
Norway;3.75
Andorra;3.22
Korea. Rep.;4.43
Denmark;4.02
Iceland;3.37
Liechtenstein;2.27
Finland;2.98
